scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
your package is awaiting release from the clearing agency for formal entry at the import location-UPS UK-Awaiting release from customs,your package is awaiting release from the clearing agency for formal entry at the import location,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Awaiting release from customs,Awaiting release from customs,,,,,,,,
we are awaiting return to sender authorization for the package-UPS UK-We are awaiting 'return to sender' authorisation,we are awaiting return to sender authorization for the package,RegEx,feb1032d-11f4-41a1-ae62-f6ecf9c0cf86,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,We are awaiting 'return to sender' authorisation,We are awaiting 'return to sender' authorisation,,,,,,,,
receiver not available ups access point service canceled will make 2nd delivery attempt at the receiver s address-UPS UK-Shipment cannot be held any longer to pick-up location,receiver not available ups access point service canceled will make 2nd delivery attempt at the receiver s address,RegEx,ddde0dd5-a185-4060-b12e-e390d8ab062c,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment cannot be held any longer to pick-up location,2nd delivery attempt. Receiver not available.,,,,,,,,
the package remains at the ups access point location and is reaching the maximum days allowed to be held-UPS UK-Shipment cannot be held any longer to pick-up location,the package remains at the ups access point location and is reaching the maximum days allowed to be held,RegEx,ddde0dd5-a185-4060-b12e-e390d8ab062c,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment cannot be held any longer to pick-up location,Shipment cannot be held any longer to pick-up location,,,,,,,,
as per the receiver s request the package will be delivered to the selected ups access point-UPS UK-Delivery to pick-up point requested,as per the receiver s request the package will be delivered to the selected ups access point,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
your package may be delayed due to a required document inspection by the clearing agency-UPS UK-Held for inspection by government agency,your package may be delayed due to a required document inspection by the clearing agency,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
the package was refused by the receiver and will be returned to the sender-UPS UK-Delivery refused,the package was refused by the receiver and will be returned to the sender,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver is not listed in the building directory we are attempting to update this information-UPS UK-Correct company or receiver name needed for delivery,the receiver is not listed in the building directory we are attempting to update this information,RegEx,26fc15fd-0457-44b8-8f91-b96b13ce2809,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Correct company or receiver name needed for delivery,Correct company or receiver name needed for delivery,,,,,,,,
as requested by the sender the package is being held for pickup at a ups location-UPS UK-Receiver to pick up shipment,as requested by the sender the package is being held for pickup at a ups location,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
your package is being processed for submission to the fda or department of agriculture-UPS UK-Customs clearance in progress,your package is being processed for submission to the fda or department of agriculture,RegEx,4796f4a2-c081-41d0-82fe-d8a982078677,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Customs clearance in progress,Processed for clearance,,,,,,,,
as requested by the receiver we ll hold the package and contact them for instruction before submitting for clearance-UPS UK-Shipment to be held and receiver to be contacted for clearance instructions,as requested by the receiver we ll hold the package and contact them for instruction before submitting for clearance,RegEx,1341cfa6-cc11-4e8f-9bcb-5e5c26663268,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment to be held and receiver to be contacted for clearance instructions,Shipment to be held and receiver to be contacted for clearance instructions,,,,,,,,
returned to shipper-UPS UK-Return parcel now delivered back to sender,returned to shipper,RegEx,a7cba95f-1ab9-42ec-b86c-a970c9a918cc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Return parcel now delivered back to sender,Return parcel now delivered back to sender,In Transit,In Transit,In Transit,Returned to sender,Returned to sender,Returned to sender,Returned to sender,Returned to sender
we ve received a request from the receiver to hold the package for pickup at a ups location-UPS UK-Receiver to pick up shipment,we ve received a request from the receiver to hold the package for pickup at a ups location,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the driver was unable to collect funds on the first delivery attempt a second attempt will be made-UPS UK-1st delivery attempt. Unable to collect tax payment.,the driver was unable to collect funds on the first delivery attempt a second attempt will be made,RegEx,91a79d19-a887-4125-bf15-0969503ae985,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,1st delivery attempt. Unable to collect tax payment.,1st delivery attempt. Unable to collect tax payment.,,,,,,,,
unable to deliver to ups access point will reattempt delivery to ups access point the next business day-UPS UK-Unable to deliver to pick-up point - Re-attempt on the next business day,unable to deliver to ups access point will reattempt delivery to ups access point the next business day,RegEx,205b64f8-74d0-4bfe-8c13-b1ac717a34b8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Unable to deliver to pick-up point - Re-attempt on the next business day,Unable to deliver to pick-up point - Re-attempt on the next business day,,,,,,,,
a damage has been reported and we will notify the sender-UPS UK-Package damaged in transit,a damage has been reported and we will notify the sender,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
some additional transit time is required since the receiver is located in a remote area-UPS UK-Address located in remote area where deliveries not made daily,some additional transit time is required since the receiver is located in a remote area,RegEx,ddd24d12-0320-4c2b-bc05-82707a51871a,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Address located in remote area where deliveries not made daily,Address located in remote area where deliveries not made daily,,,,,,,,
the address is incomplete this may delay delivery we re attempting to update the address-UPS UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,the address is incomplete this may delay delivery we re attempting to update the address,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
import c o d icod charges have been paid-UPS UK-Tax payment received,import c o d icod charges have been paid,RegEx,4b67c606-617b-455f-b410-1a17ce4ad186,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Tax payment received,Tax payment received,,,,,,,,
we will return the package to the sender-UPS UK-Shipment to be returned,we will return the package to the sender,RegEx,5ea46330-cc6d-4f62-b891-7e347342f3dd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment to be returned,Shipment to be returned	,,,,,,,,
power of attorney documentation is missing and is required for clearance we re working to obtain this information-UPS UK-Power of attorney documentation missing,power of attorney documentation is missing and is required for clearance we re working to obtain this information,RegEx,0786ada3-2869-4053-a36d-17ae0525782e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Power of attorney documentation missing,Power of attorney documentation missing,,,,,,,,
we ve begun an investigation to locate the package-UPS UK-Investigation opened for lost package,we ve begun an investigation to locate the package,RegEx,04815b19-8a89-4d13-8e71-a4c59981518d,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Investigation opened for lost package,Investigation opened for lost package,,,,,,,,
the receiver requested this package to be held for pickup at the ups facility-UPS UK-Receiver to pick up shipment,the receiver requested this package to be held for pickup at the ups facility,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
signature obtained-UPS UK-Delivered,signature obtained,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivered,Delivered,,,,,,,,
the receiving business was closed at the time of the final delivery attempt-UPS UK-Final delivery attempt. Shipment to be returned.,the receiving business was closed at the time of the final delivery attempt,RegEx,c7e17dc9-f619-4e01-b4f2-288e60670bbc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Final delivery attempt. Shipment to be returned.,Final delivery attempt. Shipment to be returned.,,,,,,,,
severe weather conditions have delayed delivery-UPS UK-Delay due to adverse weather conditions,severe weather conditions have delayed delivery,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,,,,,,,
the apartment number is either missing or incorrect this may delay delivery we re attempting to update the address-UPS UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,the apartment number is either missing or incorrect this may delay delivery we re attempting to update the address,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
per the receiver s request the package is being held for pickup pickup must be made within 5 business days-UPS UK-Receiver to pick up shipment,per the receiver s request the package is being held for pickup pickup must be made within 5 business days,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Package needs to be collected within 5 business days,,,,,,,,
delivery will be delayed by one business day-UPS UK-Carrier error delayed delivery,delivery will be delayed by one business day,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Transit delay	,,,,,,,,
we were unable to load the package on the plane as scheduled-UPS UK-Carrier error delayed delivery,we were unable to load the package on the plane as scheduled,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Delay due to operational reasons,,,,,,,,
